,store,sido,gungu,store_address
0,강남역,서울,강남구,서울 강남구 강남대로 98길 11
1,개포1호,서울,강남구,서울 강남구 논현로16길 5
2,개포2호,서울,강남구,서울 강남구 선릉로6길 12개포동
3,논현1호(서울),서울,강남구,서울 강남구 학동로2길 50논현동
4,대치1호,서울,강남구,서울 강남구 선릉로 312
5,대치2호,서울,강남구,서울 강남구 삼성로58길 7대치동
6,도곡,서울,강남구,서울 강남구 논현로38길 30  1층
7,삼성1호,서울,강남구,서울 강남구 봉은사로 451
8,세곡,서울,강남구,서울 강남구 자곡로 101 강남레미안힐즈상가 103호
9,압구정신사,서울,강남구,"서울 강남구 언주로172길 29, 대성빌딩 1층 1호"
10,역삼1호,서울,강남구,서울 강남구 강남대로 66길 16 1층
11,일원1동,서울,강남구,서울 강남구 일원로9길 48일원동
12,일원본동,서울,강남구,"서울 강남구 광평로31길 27, 삼성아파트 상가 104호"
13,청담역,서울,강남구,서울 강남구 학동로 87길 9 진흥아파트상가
14,강일,서울,강동구,서울 강동구 아리수로 419 리슈빌오피스텔
15,고덕1호(서울),서울,강동구,서울 강동구 고덕로61길 116
16,길1호,서울,강동구,서울 강동구 천중로 201
17,길동역,서울,강동구,서울 강동구 양재대로 111길 18
18,둔촌1호,서울,강동구,"서울 강동구 진황도로 168둔촌동,예창빌딩"
19,명일1호,서울,강동구,서울 강동구 구천면로 438
20,상일,서울,강동구,"서울 강동구 상일로15길 6고덕동,재도빌딩"
21,상일2호,서울,강동구,"서울 강동구 구천면로 640, 고덕 롯데캐슬 베네루체 상가A동 114호"
22,성내,서울,강동구,"서울 강동구 풍성로 143, 1층"
23,암사1호,서울,강동구,서울 강동구 올림픽로 807
24,암사2호,서울,강동구,"서울 강동구 고덕로 109,"
25,천호1호,서울,강동구,서울 강동구 천호대로 1077
26,덕성여대,서울,강북구,서울 강북구 삼양로 531
27,미아1호,서울,강북구,서울 삼양로 24길 19. 현대성우아파트 상가 104호
28,미아사거리,서울,강북구,서울 강북구 도봉로8길 35
29,미아역,서울,강북구,서울 강북구 도봉로 142
30,번동,서울,강북구,서울 강북구 한천로 109길 59 일신빌딩 1층
31,수유1호,서울,강북구,서울 강북구 삼각산로 119
32,수유2호,서울,강북구,서울 강북구 수유로 12
33,수유역점,서울,강북구,서울 강북구 한천로 1016
34,가양,서울,강서구,서울 강서구 양천로 482 삼부르네상스 109호
35,강서구청,서울,강서구,서울 강서구 화곡로 277
36,까치산역,서울,강서구,"서울 강서구 곰달래로 125, 라인씨티 1층"
37,등촌,서울,강서구,서울 강서구 공항대로 509
38,마곡1호,서울,강서구,서울 강서구 강서로 429 마곡오드카운티1차 111호
39,마곡역,서울,강서구,서울 강서구 공항대로 209
40,발산,서울,강서구,서울 강서구 공항대로42길 12
41,방화1호,서울,강서구,서울 강서구 양천로 87
42,방화2호,서울,강서구,서울 강서구 방화동로 113-1
43,염창,서울,강서구,서울 강서구 양천로 689
44,화곡2호,서울,강서구,서울 강서구 가로공원로 227
45,봉천1호,서울,관악구,서울 관악구 봉천로 472봉천동
46,봉천2호,서울,관악구,서울 관악구 남부순환로 1881
47,봉천3호,서울,관악구,서울 관악구 봉천로 604
48,봉천4호,서울,관악구,서울 관악구 봉천로 374
49,신림1호,서울,관악구,서울 관악구 난곡로 357신림동
50,신림2호,서울,관악구,서울 관악구 난곡로 262신림동
51,신림3호,서울,관악구,서울 관악구 신림로 11길 13
52,신림4호,서울,관악구,"서울 관악구 난곡로 189신림동,명성빌딩"
53,건대,서울,광진구,서울 광진구 아차산로 31길 13
54,광장,서울,광진구,서울 광진구 광나루로 607광장동
55,구의역,서울,광진구,서울 광진구 아차산로51길 44
56,자양1호,서울,광진구,서울 광진구 자양번영로 15
57,자양2호,서울,광진구,서울 광진구 자양로13길 40자양동
58,중곡1호,서울,광진구,서울 광진구 긴고랑로 40
59,중곡2호,서울,광진구,서울시 광진구 용마산로 109
60,개봉1호,서울,구로구,서울 구로구 개봉로 30-1
61,고척1호,서울,구로구,서울 구로구 고척로 129
62,구로2호,서울,구로구,서울 구로구 구로중앙로 18길 68
63,구로디지털,서울,구로구,서울 구로구 디지털로 26길 110
64,남구로,서울,구로구,서울 구로구 가마산로 180-2
65,동양미래대학,서울,구로구,"서울 구로구 중앙로 8길 11, 106호"
66,신도림1호,서울,구로구,서울 구로구 경인로59길 7 신도림6차대림아파트 상가 902동 111호
67,오류1호,서울,구로구,서울 구로구 경인로 189-1
68,천왕역,서울,구로구,서울 구로구 서해안로 2264
69,항동,서울특별시,구로구,서울 구로구 연동로 233 102호
70,가산디지털,서울,금천구,서울 금천구 가산디지털1로 165 가산비지니스센터 2층
71,독산1호,서울,금천구,서울 금천구 독산로 344
72,독산2동,서울,금천구,서울 금천구 시흥대로 310
73,시흥1호,서울,금천구,서울 금천구 금하로 753-1
74,시흥2호,서울,금천구,서울 금천구 은행나무로 12
75,공릉1호,서울,노원구,서울 노원구 공릉로 35길 2
76,공릉2호,서울,노원구,서울 노원구 공릉로 235
77,공릉3호,서울,노원구,서울 노원구 동일로 1041
78,상계4단지,서울,노원구,서울 노원구 동일로 1362
79,상계보람,서울,노원구,서울 노원구 노원로34길 96
80,상계역,서울,노원구,서울 노원구 덕릉로 721
81,석계역,서울,노원구,서울 노원구 석계로 31
82,수락산역,서울,노원구,서울 노원구 동일로 1651
83,인덕대,서울,노원구,서울 노원구 초안산로 2라길 26. 월계센트럴아이파크 상가동 101호
84,중계1호,서울,노원구,서울 노원구 한글비석로 245
85,중계역,서울,노원구,"서울 노원구 동일로 1279, 비상가동 1층 113호"
86,하계1호,서울,노원구,서울 노원구 한글비석로 89  101호 하계동
87,도봉동,서울,도봉구,서울 도봉구 마들로 689
88,방학,서울,도봉구,서울 도봉구 도당로 111
89,쌍문1호,서울,도봉구,서울특별시 도봉구 도당로 30
90,쌍문역,서울,도봉구,서울 도봉구 도봉로 505
91,창3동,서울,도봉구,서울 도봉구 덕릉로 264
92,창동,서울,도봉구,서울 도봉구 해등로 120
93,경희대,서울,동대문구,서울 동대문구 경희대로3길 20
94,답십리1호,서울,동대문구,서울 동대문구 전농로81
95,서울시립대,서울,동대문구,서울 동대문구 전농로 133
96,신이문,서울,동대문구,서울 동대문구 신이문로 6-1
97,안암,서울,동대문구,서울 동대문구 안암로 122
98,용두,서울,동대문구,서울 동대문구 용두동 29-1
99,장안1호,서울,동대문구,서울 동대문구 한천로 229
100,장안2호,서울,동대문구,서울 동대문구 장한로 69
101,청량리역,서울,동대문구,서울 동대문구 왕산로 249-1
102,노량진,서울,동작구,"서울 동작구 노량진로8길 55노량진동,더클래식동작"
103,사당1호,서울,동작구,"서울 동작구 사당로23길 2, 1층"
104,사당3호,서울,동작구,서울 동작구 사당로 185-1
105,상도,서울,동작구,"서울 동작구 상도로30길 40, 상도2차 두산위브트레지움아파트 상가"
106,상도터널,서울,동작구,서울 동작구 상도로 306
107,숭실대,서울,동작구,서울 동작구 상도로 370
108,신대방,서울,동작구,서울 동작구 시흥대로 646
109,신대방삼거리,서울,동작구,서울 동작구 여의대방로24길 129
110,흑석1호,서울,동작구,서울 동작구 흑석로 116
111,도화(서울),서울,마포구,서울 마포구 마포대로4길 30-3
112,망원2동,서울,마포구,서울 마포구 월드컵로 111
113,상암,서울,마포구,서울 마포구 월드컵북로 48길 14
114,성산2동,서울,마포구,서울 마포구 월드컵로 190
115,신공덕,서울,마포구,"서울 마포구 만리재로 74, 1동 109호"
116,신수,서울,마포구,"서울 마포구 독막로 209신수동,세양청마루아파트"
117,아현,서울,마포구,서울 마포구 마포대로 195 마포래미안 푸르지오 101동 상가 114호
118,연남,서울,마포구,서울 마포구 연남로 45
119,용강(서울),서울,마포구,서울 마포구 토정로31길 67
120,홍대,서울,마포구,서울 마포구 양화로16길 6
121,독립문,서울,서대문구,서울 서대문구 통일로 151
122,명지대,서울,서대문구,서울 서대문구 거북골로 57-1
123,북가좌1호,서울,서대문구,서울 서대문구 응암로 11
124,북아현1호,서울,서대문구,서울 서대문구 북아현로 40
125,신촌,서울,서대문구,서울 서대문구 명물길 21
126,연희1호(서울),서울,서대문구,서울 서대문구 성산로 381
127,홍은1호,서울,서대문구,서울 서대문구 세검정로 89
128,홍은사거리,서울,서대문구,서울 서대문구 통일로 473
129,반포1호,서울,서초구,서울 서초구 서래로43
130,반포삼호가든,서울,서초구,서울 서초구 서초중앙로 33길 8
131,방배1호,서울,서초구,서울 서초구 방배중앙로27길 2
132,방배2호,서울,서초구,"서울 서초구 효령로31길 3방배동,반도빌딩"
133,서초1호,서울,서초구,서울 서초구 강남대로 43길 22-1 1층
134,서초2호,서울,서초구,서울 서초구 서초대로56길 22
135,서초3호,서울,서초구,서울 서초구 사임당로 31
136,양재1호,서울,서초구,서울 서초구 동산로 6
137,우면,서울,서초구,서울 서초구 태봉로2길 65
138,잠원1호,서울,서초구,서울 서초구 나루터로 69
139,금호역,서울,성동구,서울 성동구 장터길 26
140,성수1호,서울,성동구,서울 성동구 동일로 41
141,성수역,서울,성동구,서울 성동구 아차산로 7길 10-1
142,왕십리1호,서울,성동구,서울 성동구 왕십리로 363
143,왕십리도선,서울,성동구,서울 성동구 고산자로281 1층
144,용답,서울,성동구,서울 성동구 용답중앙13길 6-1
145,응봉,서울,성동구,서울 성동구 독서당로 398
146,한양대,서울,성동구,서울 성동구 마조로 31
147,길음뉴타운,서울,성북구,서울 성북구 길음로 33
148,동덕여대,서울,성북구,서울 성북구 화랑로 103
149,동소문,서울,성북구,서울 성북구 아리랑로 48
150,보문,서울,성북구,서울 성북구 보문로47
151,석관장위,서울,성북구,서울 성북구 화랑로 265
152,정릉1호,서울,성북구,서울 성북구 보국문로 72
153,정릉2호,서울,성북구,서울 성북구 정릉로31길 32
154,종암,서울,성북구,서울 성북구 종암로 27길 18
155,한성대,서울,성북구,서울 성북구 동소문로 38
156,가락2호,서울,송파구,서울 송파구 양재대로 62길 35 다우빌딩 1층
157,거여가락1호,서울,송파구,서울 송파구 문정로 143
158,마천1호,서울,송파구,서울 송파구 오금로 544 1층
159,문정법조,서울,송파구,서울 송파구 새말로 62문정동
160,방이2호,서울,송파구,서울 송파구 오금로 11길 22
161,방이역,서울,송파구,서울 송파구 마천로 76 성암빌딩 1층
162,석촌,서울,송파구,서울 송파구 백제고분로 39길 29
163,송파1호,서울,송파구,서울 송파구 가락로 212
164,올림픽공원,서울,송파구,서울 송파구 올림픽로 505
165,위례송파,서울,송파구,"서울 송파구 위례광장로 120 148,149호"
166,잠실1호,서울,송파구,서울 송파구 백제고분로7길 9
167,잠실2호,서울,송파구,서울 송파구 올림픽로35가길 9
168,장지,서울,송파구,서울 송파구 새말로 167
169,헬리오시티,서울,송파구,"서울 송파구 송파대로 345, 헬리오시티 상가 3A동 01호"
170,목3동,서울,양천구,서울 양천구 등촌로 102 호성빌딩 1층
171,목동1호,서울,양천구,서울 양천구 목동중앙서로 24
172,목동2호,서울,양천구,"서울 양천구 목동동로 423, 이화프라자 1층 101호"
173,목동오거리,서울,양천구,"서울 양천구 목동로 230, 목동2차아이파크 상가 102호"
174,목동파크자이,서울,양천구,서울 양천구 목동남로4길 80
175,신월1호,서울,양천구,서울 양천구 신월로 200
176,신월2호,서울,양천구,서울 양천구 지양로 52
177,신월사거리,서울,양천구,서울 양천구 남부순환로 360
178,신정1호,서울,양천구,서울 양천구 중앙로 32길 51
179,신트리,서울,양천구,"서울 양천구 신정로 312, 목동뉴프라자"
180,오목교,서울,양천구,"서울 양천구 목동동로 180, 아이파크아파트 상가 1층"
181,화곡1호,서울,양천구,서울 양천구 화곡로 103
182,당산,서울,영등포구,"서울 영등포구 영중로 119, 108호"
183,대림2호,서울,영등포구,서울 영등포구 대림로 247
184,문래,서울,영등포구,서울 영등포구 선유로 62
185,선유도역,서울,영등포구,서울 영등포구 양평로 108
186,신길1호,서울,영등포구,서울 영등포구 도신로 108
187,신길2호,서울,영등포구,서울 영등포구 여의대방로 177
188,신풍역,서울,영등포구,서울 영등포구 신길로 67신길동
189,여의도,서울,영등포구,서울 영등포구 여의대방로 67길 11
190,영등포1호,서울,영등포구,서울 영등포구 신길로 167
191,영등포역,서울,영등포구,서울 영등포구 영중로6길 16-1
192,동부이촌,서울,용산구,서울 용산구 이촌로75길 22  오성상가 103 이촌동
193,보광,서울,용산구,서울 용산구 장문로 81
194,숙대,서울,용산구,서울 용산구 청파로 47길 14
195,신용산역,서울,용산구,서울 용산구 한강대로40길 13
196,용문,서울,용산구,서울 용산구 새창로 108
197,후암,서울,용산구,서울 용산구 후암로 28-1
198,구산역,서울,은평구,서울 은평구 연서로 157
199,녹번,서울,은평구,서울 은평구 서오릉로 26
200,대조,서울특별시,은평구,서울 은평구 서오릉로 94
201,불광1동,서울,은평구,"서울 은평구 불광로 60 불광동,라비앙프라자1층 101호"
202,신사1동,서울,은평구,서울 은평구 은평로 22
203,역촌1호,서울,은평구,서울 은평구 역말로 8
204,연신내,서울,은평구,서울 은평구 통일로 866-1
205,은평뉴타운,서울,은평구,"서울특별시 은평구 진관3로 67 진관동,은평뉴타운상가 914-103호"
206,응암1동,서울,은평구,서울 은평구 백련산로 85응암동
207,응암오거리,서울,은평구,서울 은평구 응암로9길 13-1
208,증산(서울),서울,은평구,서울 은평구 증산서길 65
209,대학로,서울,종로구,서울특별시 종로구 대학로11길 23
210,숭인,서울,종로구,서울 종로구 종로 385
211,안국,서울,종로구,서울 종로구 북촌로5길 43
212,종로1호,서울,종로구,서울 종로구 종로12길 15
213,평창,서울,종로구,서울 종로구 평창문화로 75
214,동대문1호,서울,중구,서울 종로구 종로 294
215,서울시청,서울,중구,서울 중구 세종대로 18길 6
216,신당1호,서울,중구,서울 중구 다산로 42나길 46
217,약수,서울,중구,서울 중구 다산로 137-1
218,망우본동,서울,중랑구,서울 중랑구 양원역로 78
219,면목1호,서울,중랑구,서울 중랑구 겸재로 201
220,면목2호,서울,중랑구,서울 중랑구 중랑천로 50
221,묵동,서울,중랑구,서울 중랑구 동일로 920
222,사가정역,서울,중랑구,서울 중랑구 면목로 45길3-4
223,상봉1호,서울,중랑구,서울시 중랑구 망우로 326
224,신내1호,서울,중랑구,서울 중랑구 신내로14길 21
225,중화,서울,중랑구,서울 중랑구 동일로 129길 16
226,국제신도시,부산,강서구,부산 강서구 명지국제8로 246
227,명지법원네오,부산,강서구,"부산 강서구 명제국제2로 28번길 23, 2동 102호"
228,명지신도시,부산,강서구,부산 강서구 명지오션시티8로30번길 26
229,신호,부산,강서구,부산 강서구 신호산단1로 76
230,지사,부산,강서구,부산 강서구 과학산단로 334번길 8
231,구서1호,부산,금정구,부산 금정구 금강로565번길 25
232,구서역,부산,금정구,부산 금정구 금강로 420
233,남산1호,부산,금정구,부산 금정구 금강로 678-1
234,부곡1호,부산,금정구,부산 금정구 무학송로 127
235,부곡2호,부산,금정구,부산 금정구 부곡로 92
236,부산대,부산,금정구,부산 금정구 금강로 270
237,서동1호,부산,금정구,부산 금정구 서동로 182
238,장전1호,부산,금정구,부산 금정구 금강로 335번길 48
239,기장,부산,기장군,부산 기장군 기장읍 차성로338번길 1층
240,일광신도시,부산,기장군,부산 기장군 일광면 해빛6로 43-19
241,정관1호,부산,기장군,부산 기장군 정관읍 구연로 22
242,정관2호,부산,기장군,부산 기장군 정관읍 모전3길 2
243,대연1호,부산,남구,부산 남구 유엔로 126-1
244,대연2호,부산,남구,부산 남구 용소로 13번길 26
245,대연3호,부산,남구,부산 남구 석포로 83
246,메트로시티1호,부산,남구,부산 남구 분포로 113
247,못골,부산,남구,부산 남구 진남로 78
248,문현1호,부산,남구,부산 남구 수영로 30-1
249,문현2호,부산,남구,부산 남구 고동골로 68
250,용호1호,부산,남구,부산 남구 용호로 244-1
251,용호2호,부산,남구,부산 남구 동명로 126
252,용호2호,부산,남구,부산 남구 동명로 126
253,범일1호,부산,동구,부산 동구 조방로 49번길 10
254,수정1호,부산,동구,부산 동구 수정로 20-2
255,초량,부산,동구,부산 동구 초량상로 102
256,명륜(부산),부산,동래구,부산 동래구 명륜로 177
257,명장1호,부산,동래구,"부산 동래구 충렬사로 81, 국제파크 상가 106호"
258,복천,부산,동래구,부산 동래구 동래로 128
259,사직1호(부산),부산,동래구,부산 동래구 미남로 64
260,사직2호,부산,동래구,부산 동래구 사직로 60
261,수안,부산,동래구,부산 동래구 명륜로 78-1
262,안락2호,부산,동래구,부산 동래구 안남로 77
263,온천1호,부산,동래구,부산 동래구 금강공원로 29-2
264,온천2호,부산,동래구,부산 동래구 아시아드대로 212-1
265,우방신세계,부산,동래구,부산 동래구 명장로 137-1
266,가야,부산,부산진구,부산 부산진구 엄광로 143
267,개금1호,부산,부산진구,부산 부산진구 백양대로 208번길 90
268,개금2호,부산,부산진구,부산 부산진구 복지로 22-2
269,당감,부산,부산진구,부산 부산진구 동평로 46
270,범천,부산,부산진구,부산 부산진구 신암로 55-1
271,부암1호,부산,부산진구,부산 부산진구 동평로 184
272,서면,부산,부산진구,부산 부산진구 중앙대로 745-1
273,양정,부산,부산진구,부산 부산진구 연수로 13-1
274,연지,부산,부산진구,부산 부산진구 동평로 299
275,전포1호,부산,부산진구,부산 부산진구 전포대로 200번길 43
276,초읍대공원,부산,부산진구,부산 부산진구 새싹로 274-1
277,구포1호,부산,북구,"부산 북구 시랑로101번길 38, A동 100호"
278,구포2호,부산,북구,부산 북구 백양대로 1061
279,금곡(부산),부산,북구,부산 북구 효열로 228
280,덕천2호,부산,북구,부산 북구 덕천로 135
281,덕천역,부산,북구,부산 북구 덕천2길 41
282,만덕1호,부산,북구,부산 북구 만덕2로 3
283,만덕2호,부산,북구,부산 북구 만덕3로 44-1
284,화명1호,부산,북구,부산 북구 화명대로 108
285,화명3호,부산,북구,"부산 북구 금곡대로 414, 2층"
286,화명신도시,부산,북구,부산 북구 금곡대로 303번길 94
287,괘법,부산,사상구,부산 사상구 운산로 36
288,덕포,부산,사상구,부산 사상구 백양대로 770-1
289,동서대,부산,사상구,부산 사상구 냉정로 125
290,모라,부산,사상구,부산 사상구 백양대로 937
291,신주례,부산,사상구,부산 사상구 백양대로 328
292,엄궁,부산,사상구,부산 사상구 엄궁북로 39
293,학장,부산,사상구,부산 사상구 대동로 69
294,괴정1호,부산,사하구,부산 사하구 괴정로 288
295,다대1호,부산,사하구,부산 사하구 윤공단로 140
296,다대2호,부산,사하구,부산 사하구 윤공단로75번길 43 102호
297,당리괴정2호,부산,사하구,부산 사하구 낙동대로 310
298,신평1호,부산,사하구,부산 사하구 장평로 282
299,장림,부산,사하구,부산 사하구 장평로 111
300,하단1호,부산,사하구,부산 사하구 낙동대로 512
301,하단2호,부산,사하구,부산 사하구 동매로 31-1
302,국제신도시,부산,강서구,부산 강서구 명지국제8로 246
303,남부민,부산,서구,부산 서구 천마로 224
304,대신,부산,서구,부산 서구 대영로 30
305,명지법원네오,부산,강서구,"부산 강서구 명제국제2로 28번길 23, 2동 102호"
306,명지신도시,부산,강서구,부산 강서구 명지오션시티8로30번길 26
307,송도감천,부산,서구,"부산 서구 감천로 271, 상가동 108호,109호암남동"
308,신호,부산,강서구,부산 강서구 신호산단1로 76
309,아미부민,부산,서구,부산 서구 보수대로 99
310,지사,부산,강서구,부산 강서구 과학산단로 334번길 8
311,광안1호,부산,수영구,부산 수영구 무학로 30-4
312,광안2호,부산,수영구,부산 수영구 수영로 538
313,망미1호,부산,수영구,부산 수영구 과정로 44-1
314,민락(부산),부산,수영구,부산 수영구 광남로 196-1
315,수영,부산,수영구,부산 수영구 수영로 735
316,거제법조,부산,연제구,부산 연제구 아시아드대로 95
317,시청(부산),부산,연제구,부산 연제구 거제천로 147
318,연산1호,부산,연제구,부산 연제구 과정로 133  1층
319,연산2호,부산,연제구,부산 연제구 중앙대로 1164 삼익아파트 상가 101호
320,연산3호,부산,연제구,부산 연제구 연수로 199 1층
321,대교남항,부산,영도구,부산 영도구 절영로 50
322,동삼,부산,영도구,부산 영도구 동삼로 105 1층
323,봉래영선,부산,영도구,부산 영도구 한결길 12
324,청학,부산,영도구,부산 영도구 태종로 352
325,남포부평,부산,중구,부산 중구 해관로 17-1
326,영주대청,부산,중구,부산 중구 중구로 70-1
327,마린시티,부산,해운대구,"부산 해운대구 마린시티1로 155우동,해운대현대하이페리온"
328,반송(부산),부산,해운대구,부산 해운대구 윗반송로 51
329,반여1호,부산,해운대구,부산 해운대구 반여로 108
330,센텀파크,부산,해운대구,부산 해운대구 센텀동로 102 117호
331,송정(부산),부산,해운대구,부산 해운대구 송정중앙로 34
332,우동1호,부산,해운대구,부산 해운대구 해운대로 381-3
333,재송1호,부산,해운대구,부산 해운대구 재반로 188
334,재송2호,부산,해운대구,부산 해운대구 재송1로 77
335,좌동1호,부산,해운대구,부산 해운대구 세실로 104
336,좌동2호,부산,해운대구,부산 해운대구 좌동순환로 57
337,좌동3호,부산,해운대구,부산 해운대구 세실로 45
338,해운대역,부산,해운대구,부산 해운대구 해운대로 604
339,계명,대구시,남구,대구 남구 양지로 107대명동
340,대명1호,대구,남구,대구 남구 대명로 60-1
341,봉덕,대구,남구,대구 남구 중앙대로 22길 119-2
342,앞산,대구,남구,대구 남구 대명로 208
343,이천대봉,대구,남구,대구 남구 대봉로38길 18
344,감삼성당,대구,달서구,대구 달서구 장기로 186
345,대곡,대구,달서구,"대구 달서구 도원로 42, 1층 107호"
346,대곡2지구,대구,달서구,"대구 달서구 갈밭로 52, 104호, 105호"
347,두류,대구,달서구,대구 달서구 야외음악당로 175 1층
348,상인,대구,달서구,대구 달서구 상화북로 180
349,성서,대구,달서구,대구 달서구 성서서로 367신당동
350,송현(대구),대구,달서구,대구 달서구 월배로 430
351,신월성,대구,달서구,"대구 달서구 조암남로 42, 트럼프스타빌딩 106호"
